weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,rain.1h
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806384.0,36000.0,2163355.0,Hobart,200,147.3294,-42.8794,43.38,43.38,41.25,45.05,1004.0,74.0,1.01,0.0,3.0,20.0,2.0,2002195.0,AU,1627766550.0,1627801884.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627806384.0,-10800.0,3466980.0,Caravelas,200,-39.2481,-17.7125,67.03,66.9,67.03,67.03,1026.0,74.0,12.48,152.0,21.88,57.0,,,BR,1627808598.0,1627849391.0,1026.0,1026.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806384.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,42.46,35.35,42.46,42.46,991.0,65.0,13.8,230.0,,20.0,1.0,8303.0,AR,1627820508.0,1627851425.0,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627806384.0,-14400.0,5122534.0,Jamestown,200,-79.2353,42.097,59.5,59.43,52.92,64.71,1012.0,91.0,1.01,295.0,1.99,40.0,2.0,2008828.0,US,1627812621.0,1627864561.0,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627806384.0,14400.0,933995.0,Souillac,200,57.5167,-20.5167,75.58,75.65,74.35,75.58,1026.0,60.0,18.41,120.0,,75.0,1.0,2061.0,MU,1627785623.0,1627825920.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627806385.0,43200.0,2206939.0,Bluff,200,168.3333,-46.6,44.8,41.68,44.8,44.8,1009.0,88.0,5.66,76.0,5.64,46.0,2.0,2008959.0,NZ,1627762101.0,1627796253.0,1009.0,1006.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806385.0,10800.0,921786.0,Mitsamiouli,200,43.2844,-11.3847,78.58,79.14,78.58,78.58,1020.0,64.0,9.48,160.0,12.1,5.0,,,KM,1627788273.0,1627830101.0,1020.0,1020.0,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806385.0,7200.0,3105522.0,Bereda,200,-7.5406,43.2686,60.91,60.37,57.92,62.01,1019.0,78.0,3.38,205.0,7.0,99.0,2.0,2013071.0,ES,1627795218.0,1627847552.0,1019.0,971.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627806385.0,7200.0,2729907.0,Longyearbyen,200,15.6401,78.2186,44.44,36.93,44.44,44.44,1008.0,70.0,17.27,110.0,,20.0,1.0,1663.0,SJ,0.0,0.0,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627806385.0,-36000.0,5848280.0,Kapaa,200,-159.319,22.0752,77.16,78.24,75.18,80.92,1021.0,78.0,3.0,246.0,8.01,40.0,2.0,2001562.0,US,1627747756.0,1627795071.0,,,,
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,10000.0,1627806385.0,-25200.0,5367788.0,Lompoc,200,-120.4579,34.6391,56.14,55.72,52.52,62.28,1017.0,91.0,0.0,0.0,,1.0,1.0,4747.0,US,1627823532.0,1627873437.0,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627806385.0,43200.0,2120591.0,Tilichiki,200,166.1,60.4667,54.19,51.8,54.19,54.19,1005.0,53.0,9.98,304.0,14.92,90.0,,,RU,1627749140.0,1627810286.0,1005.0,980.0,,
"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]",stations,10000.0,1627806385.0,46800.0,4032243.0,Vaini,200,-175.2,-21.2,71.76,72.3,71.76,71.76,1005.0,78.0,28.77,270.0,48.34,75.0,1.0,7285.0,TO,1627841517.0,1627881727.0,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627806385.0,7200.0,361291.0,Hurghada,200,33.8129,27.2574,91.22,94.15,91.22,91.22,1006.0,44.0,6.89,41.0,6.53,3.0,,,EG,1627787310.0,1627835611.0,1006.0,1004.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806385.0,-10800.0,3841956.0,Paraná,200,-60.5238,-31.732,45.54,43.97,41.31,46.54,1030.0,78.0,3.69,166.0,3.74,0.0,2.0,2008823.0,AR,1627815019.0,1627853182.0,1030.0,1023.0,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627806385.0,-10800.0,3832899.0,Viedma,200,-62.9967,-40.8135,38.93,32.47,38.93,38.93,1031.0,70.0,9.66,352.0,20.54,0.0,,,AR,1627816699.0,1627852689.0,1031.0,1030.0,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627806385.0,0.0,3372707.0,Ribeira Grande,200,-28.7,38.5167,72.0,72.55,72.0,72.0,1030.0,78.0,6.91,300.0,,20.0,1.0,6883.0,PT,1627801000.0,1627851926.0,,,,
